title,active_compound
Cartilagea,specifici per il benessere delle  cartilagini  e dei tessuti connettivi di  tendini e legamenti.
Cartilagea (Copia),specifici per il benessere delle  cartilagini .
Colonsan Formula Potenziata,100% naturali utili per il benessere di stomaco e intestino .
Dimasal Nuova Formula,100% naturali utili per il controllo del peso.
Energea+ Nuova Formula,funzionali 100% naturali utili per favorire il supporto energetico
Energea+ Nuova Formula,in modo naturale: una  formula energizzante  che conferisce  forza e vitalità
Energea+ Nuova Formula,sia sul piano fisico che mentale.
Glutatione Forte,ad azione antiossidante
Glutatione Forte,unici nel loro genere.  Questo significa detossicazione da tossine
Glutatione Forte,sostegno immunitario
Glutatione Forte,energia e vitalità
Glutatione Forte,protezione degli organi
Glutatione Forte,di cuore e circolazione e tanti altri benefici.
Goladoc,naturali utili per il  benessere della gola
Goladoc,del  tono di voce
Goladoc,ad  azione emolliente e lenitiva .
Kiomasal,brevettati
Kiomasal,100% naturali  e di  ultima generazione  che hanno dimostrato la loro sicurezza ed efficacia attraverso  studi clinici .
LuxGea Pelle,innovativi utili per sostenere la bellezza della pelle
LuxGea Pelle,supportare la  formazione di collagene dall’interno  e favorire un naturale  effetto antiage .
Memosan,sono rigorosamente in forma di  estratto secco ad alta titolazione  cioè ad alto contenuto di principi attivi
Memosan,gli unici a garantire veramente l’efficacia costante del prodotto.
Omega 3 Krill Oil,attivi di Omega 3 Krill Oil Salugea
Pausanorm Forte,naturali di Pausanorm Forte
ProbioGea Donna,100% naturali possono darti beneficio già dalle prime assunzioni.  Per un trattamento “premium” per il benessere della flora batterica vaginale
ProbioGea Donna,puoi anche scegliere la sinergia delle formulazioni del  Programma Flora Donna . È un percorso di benessere che prevede una prima fase in cui “prepari” il terreno all’assunzione dei probiotici.
ProbioGea Intestino,100% naturali possono darti beneficio già dalle prime assunzioni.  Per un trattamento “premium” per il tuo benessere intestinale
ProbioGea Intestino,puoi anche scegliere la sinergia delle formulazioni del  Programma Equilibrio Intestinale . È un percorso di benessere che prevede una prima fase in cui “prepari” il terreno all’assunzione dei probiotici.
Reflugea Forte,100% naturali utili per  proteggere  le pareti gastriche
Reflugea Forte,modulare la secrezione degli acidi
Reflugea Forte,controllare l’acidità dello stomaco e  favorire così il benessere di stomaco ed esofago nel tempo .
Reflugea Rapido,selezionati per il loro  effetto   antiacido  e combinati in una  formula multi-azione 3 in 1
Reflugea Rapido,pensata per offrire una  pronta risposta  su più livelli del benessere gastrico.
Reset Intestino,100% naturali utili per una “pulizia” del colon e dell’intestino:  favoriscono il   benessere intestinale attraverso un  “effetto detox”.
